t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
5.611522,333,-4.459,-53.698,-23.009,0.0411,-0.005348,0.181318
5.628322,334,-9.62,-46.929,-15.423,-0.073218,-0.012809,0.061135
5.645122,335,9.897,-55.187,-61.405,0.293101,-0.047399,0.217078
5.661923,336,-2.871,-52.507,-22.803,0.049448,-0.00466,0.180465
5.678723,337,1.748,-46.628,-11.765,0.135811,-0.015111,0.054732
5.695523,338,-3.363,-25.913,-43.593,-0.036524,-0.018189,-0.364901
5.712323,339,-4.184,-28.245,-33.715,-0.058547,-0.008627,-0.307882
5.729124,340,-1.475,-27.865,-38.655,-0.018607,-0.01404,-0.331222
5.745924,341,-3.475,-31.092,-32.089,-0.066174,-0.003573,-0.253702
5.762725,342,-11.415,-51.409,-53.148,-0.201289,0.017154,0.171649
5.779525,343,7.953,-46.624,-15.935,0.176317,0.013138,0.041133
5.796325,344,-9.205,-54.561,-55.818,-0.174967,0.023443,0.21477
5.813125,345,2.744,-56.514,-25.66,0.059078,0.019932,0.230797
5.829926,346,-2.749,-54.178,-22.803,-0.054864,0.024397,0.170513
5.846726,347,10.17,-47.961,-15.296,0.196745,0.013694,0.019671
5.863526,348,0.853,-41.956,-16.808,-0.008441,0.009008,-0.105272
5.880327,349,8.325,-53.697,-20.394,0.155488,-0.001673,0.112964
5.897127,350,1.986,-46.18,-14.3,0.018381,0.008269,-0.044759
5.913928,351,-3.221,-49.213,-21.662,-0.086439,0.007005,0.018007
5.930728,352,8.306,-54.794,-21.74,0.151682,0.005423,0.111685
5.947528,353,2.426,-59.345,-24.699,0.032661,0.010236,0.203227
5.964329,354,0.176,-38.655,-36.181,-0.044841,-0.009227,-0.223375
5.981129,355,9.797,-54.722,-22.127,0.180248,0.007237,0.083994
5.997929,356,4.115,-63.453,-28.208,0.067631,0.010371,0.268922
6.01473,357,-2.605,-50.822,-21.541,-0.072608,0.002394,0.003022
6.03153,358,3.715,-59.597,-20.796,0.062691,-0.000183,0.156718
6.048331,359,-2.02,-50.918,-21.216,-0.060904,0.000849,-0.019039
6.065131,360,-1.994,-39.453,-44.603,-0.09448,-0.015395,-0.26819
6.081931,361,6.505,-56.434,-24.601,0.1161,-0.003769,0.05864
6.098732,362,-8.096,-58.249,-43.395,-0.184707,-0.002935,0.108436
6.115532,363,3.877,-43.177,-34.458,0.04595,0.022668,-0.246854
6.132333,364,-5.607,-41.137,-65.861,-0.170127,0.003468,-0.280849
6.149133,365,-2.868,-52.786,-28.366,-0.082824,0.000696,-0.075659
